,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
434,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true,434.0
435,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true,435.0
436,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true,436.0
437,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true,437.0
438,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",2016,June,28,tom_ruling_pof,438.0
439,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true,439.0
440,"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”",2020,June,11,meter-false,440.0
441,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true,441.0
442,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof,442.0
443,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",2009,December,2,meter-mostly-false,443.0
444,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false,444.0
445,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",2022,April,3,meter-false,445.0
446,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false,446.0
447,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",2019,December,11,meter-mostly-false,447.0
448,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",2019,January,13,meter-half-true,448.0
449,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false,449.0
450,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false,450.0
451,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true,451.0
452,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false,452.0
453,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",2015,August,6,meter-false,453.0
454,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false,454.0
455,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true,455.0
456,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true,456.0
457,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof,457.0
458,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false,458.0
459,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",2020,February,22,meter-half-true,459.0
460,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false,460.0
461,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",2019,October,13,tom_ruling_pof,461.0
462,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true,462.0
463,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false,463.0
464,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",2018,July,8,meter-false,464.0
465,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false,465.0
466,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",2017,November,26,meter-mostly-false,466.0
467,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",2017,July,12,tom_ruling_pof,467.0
468,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",2017,March,6,meter-mostly-true,468.0
469,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false,469.0
470,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",2016,September,28,meter-mostly-false,470.0
471,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",2016,July,26,meter-mostly-true,471.0
472,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true,472.0
473,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",2016,June,22,meter-mostly-false,473.0
474,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true,474.0
475,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",2016,January,13,tom_ruling_pof,475.0
476,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false,476.0
477,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true,477.0
478,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",2014,December,10,meter-mostly-false,478.0
479,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true,479.0
480,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true,480.0
481,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true,481.0
482,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true,482.0
483,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true,483.0
484,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true,484.0
485,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",2012,March,26,tom_ruling_pof,485.0
486,"The United States ""is number one in the world in energy resources; Russia is number two.""",2011,December,7,meter-true,486.0
487,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",2011,June,14,meter-true,487.0
488,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",2010,April,3,meter-true,488.0
489,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true,489.0
490,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,2022,December,8,meter-mostly-false,490.0
491,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false,491.0
492,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof,492.0
493,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof,493.0
494,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false,494.0
495,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true,495.0
496,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",2009,December,2,meter-mostly-false,496.0
497,“The Simpsons predicted Pizzagate.”,2022,November,16,tom_ruling_pof,497.0
498,A video shows migrants faking tears for news cameras.,2020,March,2,meter-false,498.0
499,Russia’s Army was “destroyed.”,2022,December,18,meter-false,499.0
500,The Federal Reserve “has suspended the availability of new currency.”,2022,December,9,meter-false,500.0
501,The war in Ukraine is “all over.”,2022,December,12,meter-false,501.0
502,“Gas prices are down back to where they were before Russia invaded Ukraine.”,2022,November,29,meter-true,502.0
503,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",2022,November,27,meter-false,503.0
504,“The CEO of FTX is the daughter of the chairman of the SEC.”,2022,November,15,meter-false,504.0
505,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,2022,November,13,meter-false,505.0
